keyword,count
최저임금,133583
정부,104436
경제,72568
인상,71495
정책,59158
대통령,52473
임금,49751
일자리,48562
기업,47594
국회,37853
소득,36416
고용,35326
상황,33905
지원,32161
성장,31022
확대,29343
결정,28755
최저,28720
대표,27336
문재인,25862
사회,24976
증가,24943
생각,24783
청와대,23344
의원,22803
근로자,22783
국민,22699
내년,22555
소상공인,22265
수준,22089
한국,21795
기준,21030
부담,20614
장관,20565
중소기업,20327
감소,19929
지적,19777
시장,19512
투자,19394
이날,19135
개선,18955
추진,18584
자영업자,18582
결과,18439
시간,18136
주장,17955
강조,17635
경기,17427
적용,17260
논의,16811
전망,16709
요구,16624
지역,16615
노동,16453
대비,16412
조사,16271
주도,16189
사업,16101
입장,16052
영향,16041
포함,15705
기간,15270
위원장,15207
상승,15145
규제,15123
설명,15084
산업,14989
노동자,14776
사람,14747
근로,14743
민주노총,14743
정도,14707
서울,14597
원내대표,14505
대책,14054
제도,13743
시작,13716
한국당,13715
대상,13661
미국,13532
교수,13487
지급,13436
비판,13202
1만,13157
1년,13085
계획,13019
관계자,13016
평가,12990
부총리,12978
예산,12896
얘기,12839
마련,12771
방안,12770
회장,12625
강화,12436
근로시간,12381
국가,12377
운영,12342
자유한국당,12323
규모,12243
취업자,12202
노조,11714
악화,11652
소득주도성장,11575
가격,11448
대기업,11437
민주당,11380
진행,11330
현장,11304
인건비,11301
의견,11282
단축,11181
해결,11122
합의,11121
일본,11111
2년,11075
기록,11019
회의,10933
혁신,10932
참여,10880
효과,10844
제조업,10832
가능성,10823
수출,10751
목소리,10509
정치,10482
여야,10458
제시,10372
중요,10361
노력,10344
어려움,10326
내년도,10248
구조,10174
개편,10146
유지,9902
노사,9888
평균,9879
탄력,9673
하락,9652
위기,9639
지난달,9626
중심,9560
시행,9531
노동계,9522
예상,9497
변화,9494
반영,9448
업체,9443
최대,9371
처리,9287
경제정책,9221
편의점,9183
업종,9177
가능,9173
예정,9058
방향,9000
논란,8976
매출,8951
결국,8951
법안,8945
만큼,8929
위원,8870
대화,8787
포인트,8769
더불어민주당,8760
전년,8687
개정안,8669
반대,8622
전국,8619
앵커,8617
분야,8573
이야기,8540
야당,8504
핵심,8498
전환,8481
개혁,8465
재정,8428
개정,8409
비용,8346
여당,8292
현실,8229
자리,8203
고용노동부,8148
속도,8130
서비스,8118
부진,8066
성과,8019
통계,8018
방식,7969
창출,7936
우리나라,7927
발언,7900
말씀,7883
정권,7865
중국,7861
세계,7808
추가,7771
업계,7749
역할,7565
의미,7549
최저임금위원회,7532
사업장,7510
갈등,7446
비정규직,7379
판단,7364
1월,7316
청년,7297
완화,7289
나라,7286
대응,7251
사실,7205
가구,7203
생산,7113
자영업,7061
위원회,7061
조정,7036
경영,6987
환경,6976
미만,6976
반발,6950
7월,6922
회사,6912
비중,6912
기업들,6795
경쟁력,6792
외국인,6787
검토,6699
제외,6664
해소,6651
국민들,6635
부족,6576
바른미래당,6564
발생,6531
과거,6516
지속,6488
보장,6485
채용,6485
지지율,6474
가지,6471
참석,6467
자동차,6424
제기,6411
8월,6376
미래,6370
직원,6319
통계청,6311
북한,6296
시행령,6277
세금,6266
실장,6247
제대로,6228
3년,6221
글로벌,6160
소비,6154
상태,6140
실제,6126
후보자,6121
자체,6118
원인,6103
연속,6102
소상공인들,6088
요인,6070
간담회,6052
심의,6041
활성화,6038
수당,6027
책임,6017
모습,6007
사람들,5992
통과,5924
단위,5867
지표,5823
교육,5822
집중,5821
파업,5795
제공,5794
비교,5781
정부의,5760
민생,5755
요청,5696
성장률,5675
고용부,5651
대출,5589
4월,5588
사실상,5574
근무,5563
그동안,5562
달러,5561
선거,5549
체계,5546
민간,5543
인식,5508
언급,5494
촉구,5492
인력,5485
인사,5479
부동산,5469
2월,5460
기획재정부,5453
3월,5450
혁신성장,5415
실패,5398
비율,5394
준비,5376
구성,5368
자영업자들,5359
부작용,5355
인터뷰,5335
경사노위,5314
각종,5305
급여,5294
20%,5292
현안,5265
영세,5260
복지,5259
단체,5257
5월,5210
기조,5202
자신,5190
물가,5169
총파업,5162
출범,5162
수수료,5152
주휴수당,5151
인하,5140
인정,5138
대한민국,5133
공장,5119
보수,5110
시대,5108
6월,5066
위반,5034
추경,5029
해외,5024
응답,5016
확인,4994
보완,4990
활동,4965
확보,4944
9월,4914
1인,4913
경영계,4906
후보,4877
제출,4864
차등,4855
반도체,4851
창업,4846
질문,4820
취업,4800
1일,4775
개최,4774
경쟁,4730
실적,4723
의지,4716
여성,4712
일정,4712
투쟁,4710
사용자,4703
전략,4697
동결,4689
총리,4685
상반기,4684
입법,4682
관리,4675
월급,4663
제안,4659
생활,4656
업무,4645
취임,4625
홍남기,4574
양극화,4571
하루,4565
인상률,4545
조치,4528
1분기,4527
자금,4525
기관,4524
정규직,4523
적극,4512
연장,4509
경제부총리,4497
측면,4496
성공,4489
최고,4487
사진,4486
카드,4480
신규,4470
발전,4465
사이,4433
관심,4432
여부,4423
