시도,선거구명,사진,기호,소속정당명,성명(한자),성별,생년월일(연령),주소,직업,학력,경력,재산신고액(천원),병역신고사항(본인),납세실적(천원)-납부액,납세실적(천원)-최근5년간체납액,납세실적(천원)-현체납액,전과기록유무(건수),입후보횟수,공약링크,나이,생년원일
서울특별시,종로구,nan,1,더불어민주당,이낙연(李洛淵),남,1952.12.20(67세),서울특별시 종로구 송월길,정당인,서울대학교 법과대학 법학과 졸업,(현)민주당 코로나19국난극복위원장(전)제45대 국무총리,2436814,군복무를 마친사람,133141,0,0,없음,5회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136749,67세,1952.12.20
서울특별시,종로구,nan,2,미래통합당,황교안(黃敎安),남,1957.04.15(63세),서울특별시 종로구 창경궁로,미래통합당 당대표,성균관대학교 대학원 법학과 졸업,(전) 제44대 대한민국 국무총리(전) 제63대 법무부장관,3804932,군복무를 마치지 아니한 사람,118357,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136965,63세,1957.04.15
서울특별시,종로구,nan,7,우리공화당,한민호(韓民鎬),남,1962.01.21(58세),서울특별시 금천구 범안로,정당인,성균관대학교대학원 공연예술협동과정 수료(박사학위과정),(전)문화체육관광부 체육정책관(전)사행산업통합감독위원회 사무처장,1100242,군복무를 마친사람,111423,1769,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137552,58세,1962.01.21
서울특별시,종로구,nan,8,민중당,오인환(吳璘煥),남,1973.01.05(47세),서울특별시 구로구 오리로,정당인,경희대학교 사회과학대학 회계학과 4년 제적,(전)통합진보당 중앙위원(현)민중당 서울시당위원장,197497,군복무를 마친사람,1536,0,0,3건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135000,47세,1973.01.05
서울특별시,종로구,nan,9,가자!평화인권당,이정희(李貞嬉),여,1964.10.19(55세),서울특별시 종로구 사직로1마길,가자평화인권당 공동대표,고려대학교 국어국문학과 졸업,(현)영화<이태원살인사건> 작가(현)우리겨레 고유력<마고력> 저자,-143000,해당없음(비대상),25805,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100138033,55세,1964.10.19
서울특별시,종로구,nan,10,공화당,신동욱(申東旭),남,1968.01.16(52세),서울특별시 송파구 마천로,정당인,서울벤처정보대학원대학교 졸업(경영학박사),(전)백석문화대학 겸임교수(현)공화당 총재,282609,군복무를 마친사람,0,0,0,2건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137714,52세,1968.01.16
서울특별시,종로구,nan,11,국가혁명배당금당,박준영(朴俊榮),남,1937.02.24(83세),서울특별시 종로구 율곡로2길,국제정치가,서울대학교 의과대학 의학과 졸업,(전)미국국제정책연구소 교수(현)한국노벨재단 총재,0,군복무를 마친사람,2100,1729,1729,2건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137702,83세,1937.02.24
서울특별시,종로구,nan,12,국민새정당,백병찬(白秉贊),남,1956.04.01(64세),서울특별시 구로구 오류로,국민새정당 부총재 겸 수석 대변인,미기재,(전)자유선진당 공천 전주덕진구 19대 국회의원 출마(전)무소속 19대 대통령 출마선언,500,군복무를 마친사람,0,0,0,1건,1회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137227,64세,1956.04.01
서울특별시,종로구,nan,14,민중민주당,박소현(朴炤炫),여,1991.02.19(29세),인천광역시 계양구 봉오대로698번길,정당인,고려대학교 사회학과 수료,(전)민중민주당 학생위원회 위원장(현)민중민주당부대변인,259418,해당없음(비대상),4379,0,0,2건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137628,29세,1991.02.19
서울특별시,종로구,nan,15,한나라당,김형석(金亨錫),남,1966.04.20(53세),서울특별시 종로구 창신12길,방송통신대학교 바둑지도사범(한국기원아마5단),한국방송통신대학교 문화교양학과 1학년 재학,"(전)종로구청장 예비출마자(4대,5대,6대)(현)한국방송통신대학교 전국동아리동문회 3대회장",0,군복무를 마치지 아니한 사람,0,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137972,53세,1966.04.20
서울특별시,종로구,nan,16,무소속,김용덕(金龍德),남,1951.01.21(69세),전라북도 김제시 공덕면 송정1길,농업,군장대학 졸업,(전)2015년 농협조합장 출마,175000,군복무를 마치지 아니한 사람,0,0,0,2건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100138043,69세,1951.01.21
서울특별시,중구성동구갑,nan,1,더불어민주당,홍익표(洪翼杓),남,1967.11.20(52세),서울특별시 성동구 행당로,정치인,한양대학교 대학원 정치외교학과 졸업(정치학박사),(현)국회의원(제19대.20대)(전)더불어민주당 수석대변인,1618959,군복무를 마친사람,246133,0,0,없음,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137167,52세,1967.11.20
