keyword,count,title
범죄,1944,디지털성범죄
불법,1810,디지털성범죄
피해자,1408,디지털성범죄
디지털,1310,디지털성범죄
디지털성,1234,디지털성범죄
유포,1190,디지털성범죄
성범죄,1188,디지털성범죄
영상,1167,디지털성범죄
여성,1158,디지털성범죄
촬영,1066,디지털성범죄
몰카,1054,디지털성범죄
웹하드,1038,디지털성범죄
지원,972,디지털성범죄
처벌,924,디지털성범죄
피해,903,디지털성범죄
경찰,893,디지털성범죄
삭제,884,디지털성범죄
수사,795,디지털성범죄
유통,758,디지털성범죄
성폭력,711,디지털성범죄
미세먼지,244567,미세먼지
서울,57244,미세먼지
지역,55513,미세먼지
정부,48471,미세먼지
사업,46809,미세먼지
전국,45428,미세먼지
농도,44348,미세먼지
지원,41887,미세먼지
환경,39655,미세먼지
기온,36728,미세먼지
계획,34764,미세먼지
먼지,34189,미세먼지
수준,33801,미세먼지
저감,33378,미세먼지
추진,32250,미세먼지
차량,31810,미세먼지
중국,31118,미세먼지
공기,30991,미세먼지
설치,29255,미세먼지
확대,27970,미세먼지
돼지,18313,아프리카돼지열병
ASF,17266,아프리카돼지열병
돼지열병,15068,아프리카돼지열병
아프리카돼지열병,14772,아프리카돼지열병
발생,14455,아프리카돼지열병
방역,12845,아프리카돼지열병
아프리카,12363,아프리카돼지열병
농가,12291,아프리카돼지열병
농장,11858,아프리카돼지열병
중국,9305,아프리카돼지열병
돼지고기,9013,아프리카돼지열병
확산,8561,아프리카돼지열병
지역,7784,아프리카돼지열병
가격,6858,아프리카돼지열병
확진,6508,아프리카돼지열병
북한,6480,아프리카돼지열병
정부,6392,아프리카돼지열병
파주,6050,아프리카돼지열병
발병,5936,아프리카돼지열병
소독,5480,아프리카돼지열병
플라스틱,15307,일회용플라스틱
사용,11865,일회용플라스틱
회용,7497,일회용플라스틱
쓰레기,4993,일회용플라스틱
환경,4477,일회용플라스틱
빨대,4115,일회용플라스틱
친환경,4108,일회용플라스틱
캠페인,3877,일회용플라스틱
일회용품,3747,일회용플라스틱
제품,3458,일회용플라스틱
재활용,3246,일회용플라스틱
매장,2810,일회용플라스틱
텀블러,2518,일회용플라스틱
폐기물,1958,일회용플라스틱
진행,1844,일회용플라스틱
동참,1798,일회용플라스틱
비닐,1751,일회용플라스틱
용기,1702,일회용플라스틱
제공,1699,일회용플라스틱
참여,1694,일회용플라스틱
최저임금,133583,최저임금
정부,104436,최저임금
경제,72568,최저임금
인상,71495,최저임금
정책,59158,최저임금
대통령,52473,최저임금
임금,49751,최저임금
일자리,48562,최저임금
기업,47594,최저임금
국회,37853,최저임금
소득,36416,최저임금
고용,35326,최저임금
상황,33905,최저임금
지원,32161,최저임금
성장,31022,최저임금
확대,29343,최저임금
결정,28755,최저임금
최저,28720,최저임금
대표,27336,최저임금
문재인,25862,최저임금
