company,date,closing_price
카카오,2020.02.19,"190,000"
카카오,2020.02.18,"182,000"
카카오,2020.02.17,"180,500"
카카오,2020.02.14,"180,000"
카카오,2020.02.13,"179,000"
카카오,2020.02.12,"172,000"
카카오,2020.02.11,"170,000"
카카오,2020.02.10,"169,000"
카카오,2020.02.07,"167,500"
카카오,2020.02.06,"166,000"
카카오,2020.02.05,"163,000"
카카오,2020.02.04,"164,500"
카카오,2020.02.03,"159,500"
카카오,2020.01.31,"159,000"
카카오,2020.01.30,"162,000"
카카오,2020.01.29,"163,500"
카카오,2020.01.28,"162,500"
카카오,2020.01.23,"165,500"
카카오,2020.01.22,"166,000"
카카오,2020.01.21,"165,000"
카카오,2020.01.20,"168,500"
카카오,2020.01.17,"168,500"
카카오,2020.01.16,"171,500"
카카오,2020.01.15,"170,000"
카카오,2020.01.14,"167,000"
카카오,2020.01.13,"167,000"
카카오,2020.01.10,"165,000"
카카오,2020.01.09,"164,000"
카카오,2020.01.08,"159,500"
카카오,2020.01.07,"160,000"
카카오,2020.01.06,"154,500"
카카오,2020.01.03,"152,500"
카카오,2020.01.02,"152,500"
카카오,2019.12.30,"153,500"
카카오,2019.12.27,"153,500"
카카오,2019.12.26,"148,000"
카카오,2019.12.24,"146,500"
카카오,2019.12.23,"148,500"
카카오,2019.12.20,"150,000"
카카오,2019.12.19,"150,000"
카카오,2019.12.18,"151,000"
카카오,2019.12.17,"150,500"
카카오,2019.12.16,"151,500"
카카오,2019.12.13,"151,000"
카카오,2019.12.12,"149,500"
카카오,2019.12.11,"150,000"
카카오,2019.12.10,"149,500"
카카오,2019.12.09,"151,500"
카카오,2019.12.06,"153,500"
카카오,2019.12.05,"149,500"
카카오,2019.12.04,"156,000"
카카오,2019.12.03,"157,000"
카카오,2019.12.02,"156,500"
카카오,2019.11.29,"155,500"
카카오,2019.11.28,"157,000"
카카오,2019.11.27,"157,500"
카카오,2019.11.26,"157,500"
카카오,2019.11.25,"156,500"
카카오,2019.11.22,"153,000"
카카오,2019.11.21,"154,000"
카카오,2019.11.20,"156,500"
카카오,2019.11.19,"156,500"
카카오,2019.11.18,"157,500"
카카오,2019.11.15,"155,500"
카카오,2019.11.14,"154,500"
카카오,2019.11.13,"153,500"
카카오,2019.11.12,"153,500"
카카오,2019.11.11,"154,000"
카카오,2019.11.08,"152,000"
카카오,2019.11.07,"151,000"
카카오,2019.11.06,"151,000"
카카오,2019.11.05,"148,500"
카카오,2019.11.04,"146,500"
카카오,2019.11.01,"145,500"
카카오,2019.10.31,"141,500"
카카오,2019.10.30,"138,000"
카카오,2019.10.29,"139,500"
카카오,2019.10.28,"140,000"
카카오,2019.10.25,"140,000"
카카오,2019.10.24,"139,500"
카카오,2019.10.23,"140,000"
카카오,2019.10.22,"136,000"
카카오,2019.10.21,"133,500"
카카오,2019.10.18,"132,500"
카카오,2019.10.17,"130,500"
카카오,2019.10.16,"132,000"
카카오,2019.10.15,"134,000"
카카오,2019.10.14,"134,500"
카카오,2019.10.11,"135,000"
카카오,2019.10.10,"136,500"
카카오,2019.10.08,"134,500"
카카오,2019.10.07,"134,500"
카카오,2019.10.04,"133,500"
카카오,2019.10.02,"135,500"
카카오,2019.10.01,"137,500"
카카오,2019.09.30,"135,500"
카카오,2019.09.27,"135,500"
카카오,2019.09.26,"136,500"
카카오,2019.09.25,"136,000"
카카오,2019.09.24,"138,000"
카카오,2019.09.23,"134,500"
카카오,2019.09.20,"135,500"
카카오,2019.09.19,"135,500"
카카오,2019.09.18,"137,000"
카카오,2019.09.17,"132,000"
카카오,2019.09.16,"132,000"
카카오,2019.09.11,"133,000"
카카오,2019.09.10,"135,500"
카카오,2019.09.09,"133,000"
카카오,2019.09.06,"136,000"
카카오,2019.09.05,"135,000"
카카오,2019.09.04,"138,500"
카카오,2019.09.03,"137,500"
카카오,2019.09.02,"137,000"
카카오,2019.08.30,"134,500"
카카오,2019.08.29,"133,000"
카카오,2019.08.28,"133,500"
카카오,2019.08.27,"134,000"
카카오,2019.08.26,"132,500"
카카오,2019.08.23,"133,000"
카카오,2019.08.22,"133,000"
카카오,2019.08.21,"131,500"
카카오,2019.08.20,"132,000"
카카오,2019.08.19,"130,500"
카카오,2019.08.16,"129,500"
카카오,2019.08.14,"130,500"
카카오,2019.08.13,"131,500"
카카오,2019.08.12,"130,000"
카카오,2019.08.09,"132,000"
카카오,2019.08.08,"127,000"
카카오,2019.08.07,"123,500"
카카오,2019.08.06,"122,000"
카카오,2019.08.05,"122,500"
카카오,2019.08.02,"128,500"
카카오,2019.08.01,"126,500"
카카오,2019.07.31,"127,000"
카카오,2019.07.30,"126,000"
카카오,2019.07.29,"129,000"
카카오,2019.07.26,"131,000"
카카오,2019.07.25,"131,000"
카카오,2019.07.24,"136,000"
카카오,2019.07.23,"136,000"
카카오,2019.07.22,"134,000"
카카오,2019.07.19,"135,000"
카카오,2019.07.18,"131,500"
카카오,2019.07.17,"131,000"
카카오,2019.07.16,"133,000"
카카오,2019.07.15,"133,000"
카카오,2019.07.12,"131,500"
카카오,2019.07.11,"130,500"
카카오,2019.07.10,"131,000"
카카오,2019.07.09,"131,000"
카카오,2019.07.08,"128,000"
카카오,2019.07.05,"133,500"
카카오,2019.07.04,"132,500"
카카오,2019.07.03,"131,000"
카카오,2019.07.02,"131,500"
카카오,2019.07.01,"129,500"
카카오,2019.06.28,"131,500"
카카오,2019.06.27,"131,500"
카카오,2019.06.26,"129,500"
카카오,2019.06.25,"130,500"
카카오,2019.06.24,"126,000"
카카오,2019.06.21,"126,500"
카카오,2019.06.20,"122,000"
카카오,2019.06.19,"122,000"
카카오,2019.06.18,"121,000"
카카오,2019.06.17,"121,500"
카카오,2019.06.14,"125,000"
카카오,2019.06.13,"126,500"
카카오,2019.06.12,"124,000"
카카오,2019.06.11,"124,500"
카카오,2019.06.10,"124,000"
카카오,2019.06.07,"120,000"
카카오,2019.06.05,"120,500"
카카오,2019.06.04,"119,500"
카카오,2019.06.03,"122,500"
카카오,2019.05.31,"124,500"
카카오,2019.05.30,"124,500"
카카오,2019.05.29,"121,500"
카카오,2019.05.28,"123,000"
카카오,2019.05.27,"122,000"
카카오,2019.05.24,"124,000"
카카오,2019.05.23,"124,000"
카카오,2019.05.22,"125,500"
카카오,2019.05.21,"125,000"
카카오,2019.05.20,"126,500"
카카오,2019.05.17,"124,500"
카카오,2019.05.16,"133,500"
카카오,2019.05.15,"132,000"
카카오,2019.05.14,"134,000"
카카오,2019.05.13,"128,500"
카카오,2019.05.10,"130,000"
카카오,2019.05.09,"126,500"
카카오,2019.05.08,"128,500"
카카오,2019.05.07,"127,500"
카카오,2019.05.03,"128,000"
카카오,2019.05.02,"123,000"
카카오,2019.04.30,"120,000"
카카오,2019.04.29,"119,500"
카카오,2019.04.26,"115,000"
카카오,2019.04.25,"116,000"
카카오,2019.04.24,"118,000"
카카오,2019.04.23,"116,500"
카카오,2019.04.22,"118,000"
카카오,2019.04.19,"117,000"
카카오,2019.04.18,"116,500"
카카오,2019.04.17,"117,500"
카카오,2019.04.16,"117,500"
카카오,2019.04.15,"110,500"
카카오,2019.04.12,"102,500"
카카오,2019.04.11,"102,500"
카카오,2019.04.10,"102,500"
카카오,2019.04.09,"100,500"
카카오,2019.04.08,"102,000"
카카오,2019.04.05,"102,500"
