keyword,count
돼지,18313
ASF,17266
돼지열병,15068
아프리카돼지열병,14772
발생,14455
방역,12845
아프리카,12363
농가,12291
농장,11858
중국,9305
돼지고기,9013
확산,8561
지역,7784
가격,6858
확진,6508
북한,6480
정부,6392
파주,6050
발병,5936
소독,5480
바이러스,5407
마리,5323
경기도,5205
강화,5112
상황,4828
농식품부,4598
양돈,4584
경기,4580
차량,4366
이날,4323
전국,4274
이동,4262
확인,4219
살처분,4210
감염,4192
차단,4047
의심,3989
유입,3968
장관,3943
가능성,3884
판정,3775
연천,3659
멧돼지,3600
축산,3567
사육,3563
농림축산식품부,3487
신고,3470
조치,3457
관계자,3196
축산물,3008
결과,2964
가축,2958
인천,2949
검사,2803
추가,2777
강화군,2754
운영,2708
관리,2692
대상,2677
진행,2632
점검,2581
예정,2397
전파,2363
구제역,2339
상승,2321
백신,2315
김포,2298
당국,2297
대응,2284
폐사,2271
음식물,2250
100%,2249
설치,2247
반입,2245
예방,2232
접수,2193
사람,2186
대책,2143
계획,2139
시설,2123
지원,2094
파주시,2034
방문,2030
질병,2023
방지,1970
사료,1961
대비,1954
긴급,1946
현장,1946
최대,1939
당부,1925
시장,1917
대통령,1904
중지,1895
피해,1875
수입,1875
출입,1873
사례,1846
전염병,1846
회의,1837
도축장,1836
국회,1832
음성,1827
신고가,1823
통제,1791
확대,1784
태풍,1779
영향,1718
정도,1710
추진,1676
베트남,1656
명령,1625
취소,1609
설명,1588
개최,1583
조사,1567
총력,1566
총리,1563
시간,1562
미국,1561
공급,1560
치사율,1559
양돈농가,1556
돼지농장,1554
국가,1552
행사,1550
정밀검사,1545
앵커,1535
환경부,1506
검역,1497
여부,1494
불법,1487
접경지역,1461
대표,1418
포함,1413
수준,1408
전망,1405
만큼,1384
경로,1376
비상,1375
8월,1372
예상,1361
연천군,1356
양돈농장,1326
기준,1309
발견,1296
잔반,1295
집중,1291
도내,1289
기간,1289
파악,1286
강조,1280
세계,1272
처분,1271
남북,1269
야생,1264
5월,1242
지난달,1228
시작,1209
동물,1206
급등,1203
급여,1202
외국인,1187
협력,1182
제한,1178
축제,1165
서울,1163
상태,1161
증가,1150
철저,1148
원인,1145
충남,1142
주변,1142
경제,1141
지정,1131
17일,1126
일시,1121
판매,1120
해외,1118
열병,1117
방역당국,1115
의심신고,1112
삼겹살,1092
증상,1090
투입,1079
보고,1076
인근,1074
처리,1073
식품,1073
중요,1063
차단방역,1048
축산농가,1040
한국,1033
거점,1025
조국,1021
이낙연,1021
시군,1019
북부,1017
지자체,1017
축사,1010
전염,1006
유통,1002
생석회,993
사태,989
생각,981
과태료,980
6시,979
AI,952
홍보,951
아시아,950
단계,949
예찰,946
2곳,945
최고,943
우리나라,943
마련,936
중심,933
정책,932
작업,931
산업,925
국민,924
결정,919
가능,906
기록,902
생산,897
시행,894
여행객,894
중점,889
감소,881
보도,878
물량,876
사실,871
한강,869
방침,869
검출,868
유지,867
휴대,859
소비,851
강원,850
야생멧돼지,837
유전자,836
