keyword,count
플라스틱,15307
사용,11865
회용,7497
쓰레기,4993
환경,4477
빨대,4115
친환경,4108
캠페인,3877
일회용품,3747
제품,3458
재활용,3246
매장,2810
텀블러,2518
폐기물,1958
진행,1844
동참,1798
비닐,1751
용기,1702
제공,1699
참여,1694
종이,1689
시작,1666
규제,1657
세계,1510
음료,1508
환경부,1474
카페,1465
정부,1414
커피,1400
계획,1392
가능,1388
포장,1339
챌린지,1325
생각,1316
기업,1291
소재,1267
종이컵,1241
실천,1228
대표,1210
바다,1200
사진,1195
프리,1160
이용,1151
서울,1145
자원,1134
활동,1125
지구,1124
포장재,1105
1회,1103
스타벅스,1080
운영,1070
고객,1066
생산,1043
활용,1030
사회,1003
시장,1000
대상,998
사용량,978
예정,976
노력,964
확대,960
행사,950
관계자,949
수거,947
판매,937
발생,921
소비자,918
업체,915
정책,900
비닐봉투,892
배출,877
처리,872
해양,861
비닐봉지,850
개인,845
정도,842
지역,835
마련,830
한국,820
소비,815
미국,809
단속,807
전국,806
페트병,801
보호,795
결과,791
분해,791
사람,770
커피전문점,761
환경보호,747
시행,743
운동,743
변화,736
적용,726
브랜드,723
용품,718
생활,716
기준,716
설명,697
시민,695
제작,692
연간,686
자연,679
손님,663
해결,663
디자인,657
추진,657
장바구니,641
조사,637
머그컵,632
배달,630
상황,630
음식,628
상품,621
설치,620
시민들,618
지목,613
인증,606
주문,602
증가,599
사업,597
오염,594
사람들,592
직원,590
관리,588
중국,574
불편,569
감축,569
관심,564
대체,563
서울시,557
재질,554
방법,548
순환,548
방식,548
우리나라,547
업계,546
지원,545
포함,544
회사,544
SNS,538
다회용,538
소비자들,538
문화,534
이날,532
개선,532
미세플라스틱,530
머그잔,529
모습,524
미세먼지,523
강화,522
의미,522
과태료,522
최대,521
지적,518
1인,511
구매,510
현장,510
봉투,510
인식,501
할인,492
분리,490
축제,489
지속,489
수준,486
부과,486
건강,486
하루,485
확산,481
필리핀,478
미세,478
방안,474
대형,474
테이크아웃,470
서비스,470
취지,467
사장,466
만큼,466
가치,460
8월,458
식품,456
비용,455
환경오염,452
제도,450
인간,446
가격,444
영국,443
뚜껑,442
1일,440
영향,436
발견,436
제한,436
전면,434
중요,433
적극,433
배송,431
준비,431
기간,430
1년,429
확인,429
원료,428
효과,426
재사용,424
4월,424
방침,422
수출,422
자리,419
마트,416
교육,414
일반,413
홍보,410
글로벌,408
폐플라스틱,404
불법,404
일상,404
대책,400
규모,399
박스,398
협약,397
7월,395
중단,390
내년,390
지난달,389
스티로폼,385
프로그램,384
경제,384
가구,382
각종,381
수입,380
단체,376
국가,375
출시,369
에너지,368
자체,367
세계적,365
미래,363
퇴출,362
강조,361
대비,358
분리수거,357
기부,355
5월,353
고래,353
다회,351
프로젝트,350
기획,349
100%,348
교체,347
일본,347
종이빨대,345
이마트,344
이벤트,343
국민,343
코팅,341
나무,341
세계자연기금,340
도시,338
저감,336
경영,335
직원들,335
주변,334
생태계,334
회장,333
절감,332
자신,331
선택,329
평균,326
공간,325
세상,324
중심,322
점검,321
제조,321
체험,321
상태,318
마음,318
매출,318
고민,317
도시락,316
편리,315
이야기,315
대형마트,315
인류,312
감소,311
물질,311
부담,311
개최,311
실제,310
최소화,310
위협,309
제주,308
변경,307
9월,306
에코백,306
공동,304
음식물,301
지속적,301
추가,300
앵커,299
호텔,299
릴레이,298
영상,297
면봉,296
인근,296
분야,296
비치,296
요구,292
1만,292
안전,291
사이,291
6월,290
결국,289
EU,289
1월,288
소각,287
고객들,287
성장,286
보증금,286
선정,284
주제,283
사실,283
산업,283
삼성전자,282
물건,281
자제,280
지자체,279
소개,279
WWF,278
온라인,278
움직임,278
패스트푸드점,277
전문점,277
임직원,277
유통,275
시설,274
조치,273
책임,270
형태,270
전시,269
가지,268
회의,268
절반,268
사내,268
이름,267
아이디어,267
교수,266
평가,266
회수,266
보관,266
여부,266
학교,265
이달,264
참여자,264
세척,262
시대,260
유럽,260
임직원들,259
프랜차이즈,259
과일,259
학생들,259
배출량,258
대란,258
제주도,255
목소리,255
반입,253
공개,252
부족,250
부산,249
공유,249
주목,249
사례,249
거리,248
제대로,247
바이오,247
이사장,246
구성,246
동물,246
예상,245
가방,245
기관,243
제거,242
작품,242
전환,241
시범,241
업사이클링,239
패키지,238
재생,238
아이들,237
쇼핑백,237
라벨,236
결정,236
50%,236
검출,236
그린피스,235
패션,235
공급,234
필름,234
1위,233
바람,232
전개,232
리드,232
구축,231
절약,229
세대,229
환경문제,229
조각,229
차지,229
독일,228
전망,228
에코,228
단계,228
점포,227
유리,227
자발,226
인기,226
슈퍼마켓,226
입장,225
역할,225
11월,225
파괴,225
2만,225
매립,224
코리아,224
제주패스,224
커피숍,224
재활용품,223
정보,223
국제,222
설거지,221
피해,221
방문,221
내부,220
조성,220
2일,220
크기,220
차원,220
적립,220
대안,219
추천,219
기후변화,219
경험,218
제안,218
가량,218
동시,217
전문,216
학생,216
것들,216
요청,215
권장,214
대표이사,213
비율,212
락앤락,212
3월,211
속비닐,211
페이스북,210
계기,210
억제,209
주자,209
발전,208
최고,208
온실가스,208
포스코,207
보도,206
독려,206
5일,206
트렌드,206
사랑,206
사회적,205
우산,204
정착,204
검토,203
그릇,202
2021년,202
스테인리스,201
제로,201
가족,199
가능성,199
나라,199
작가,198
위치,198
주장,198
무료,197
편의점,197
공장,197
투자,197
플라스틱컵,197
도움,197
대표적,197
요즘,197
혜택,197
유리컵,196
등장,196
폐기,196
자발적,196
이산화탄소,196
,196
그동안,196
베트남,195
성분,195
대응,195
전달,195
식당,195
해시태그,195
여행,194
세트,194
선물,194
상반기,192
습관,192
소비량,192
법안,191
의견,191
공감,191
장례식장,190
분위기,190
제시,190
아이스,190
유지,190
3일,189
유명,189
일환,188
물티슈,187
무분별,187
일상생활,187
주민,187
유도,186
공공기관,186
선언,186
사무실,186
업체들,185
생물,185
행동,185
페스티벌,185
1개,185
공식,185
위험,184
과대포장,184
구조,184
의식,183
안내,183
사업장,182
달성,182
어린이,182
작업,182
원인,181
추정,180
공연,180
여성,180
지급,180
지속가능,180
환경운동,180
수돗물,179
2명,179
흰색,179
적발,178
2020년,178
면적,177
혁신,177
보전,177
현실,176
재료,176
접시,176
생수,175
해변,175
평소,175
청사,175
녹색,175
기업들,175
걱정,174
별도,174
쓰레기통,174
센터,173
방향,173
논의,173
집중,173
울산항,173
2월,173
얼마,173
채소,173
70%,173
체결,173
아파트,172
선물세트,172
기사,172
방치,171
장관,170
규정,170
협력,169
대학생,169
화장품,169
가정,169
무게,168
위반,167
대회,167
2030년,167
창업,167
인터뷰,167
기록,166
이슈,166
당장,165
해외,165
얘기,165
백화점,165
대학,165
구입,165
촉진,164
불가능,164
칫솔,164
전략,164
8일,164
주민들,163
관광객,163
인도네시아,163
