사용일자,노선명,역ID,역명,승차총승객수,하차총승객수,등록일자,호선,구,동,상세주소,전화번호,상세주소_역이름
20191201,1호선,152,종각,19093.0,17141.0,20191204,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191202,1호선,152,종각,48153.0,46770.0,20191205,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191203,1호선,152,종각,49696.0,47715.0,20191206,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191204,1호선,152,종각,49877.0,48664.0,20191207,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191205,1호선,152,종각,51426.0,49816.0,20191208,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191206,1호선,152,종각,53906.0,53367.0,20191209,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191207,1호선,152,종각,39770.0,38700.0,20191210,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191208,1호선,152,종각,21696.0,18828.0,20191211,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191209,1호선,152,종각,48252.0,47391.0,20191212,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191210,1호선,152,종각,49934.0,49070.0,20191213,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191211,1호선,152,종각,51569.0,50013.0,20191214,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191212,1호선,152,종각,52513.0,51069.0,20191215,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191213,1호선,152,종각,57378.0,56290.0,20191216,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191214,1호선,152,종각,48032.0,45917.0,20191217,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191215,1호선,152,종각,24436.0,20768.0,20191218,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191216,1호선,152,종각,50629.0,49562.0,20191219,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191217,1호선,152,종각,51379.0,50279.0,20191220,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191218,1호선,152,종각,54181.0,51942.0,20191221,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191219,1호선,152,종각,54597.0,52783.0,20191222,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191220,1호선,152,종각,59204.0,58356.0,20191223,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191221,1호선,152,종각,47171.0,44276.0,20191224,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191222,1호선,152,종각,28880.0,24621.0,20191225,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191223,1호선,152,종각,54794.0,52439.0,20191226,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191224,1호선,152,종각,64822.0,58487.0,20191227,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191225,1호선,152,종각,47241.0,33864.0,20191228,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191226,1호선,152,종각,54022.0,51314.0,20191229,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191227,1호선,152,종각,55085.0,53703.0,20191230,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191228,1호선,152,종각,45231.0,41345.0,20191231,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191229,1호선,152,종각,25687.0,21347.0,20200101,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191230,1호선,152,종각,51830.0,49240.0,20200102,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191231,1호선,152,종각,57511.0,64739.0,20200103,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200101,1호선,152,종각,20427.0,16301.0,20200104,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200102,1호선,152,종각,48855.0,47433.0,20200105,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200103,1호선,152,종각,53006.0,52135.0,20200106,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200104,1호선,152,종각,35345.0,33183.0,20200107,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200105,1호선,152,종각,20424.0,17508.0,20200108,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200106,1호선,152,종각,49955.0,47854.0,20200109,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200107,1호선,152,종각,49608.0,47621.0,20200110,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200108,1호선,152,종각,49926.0,48608.0,20200111,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200109,1호선,152,종각,52172.0,50502.0,20200112,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200110,1호선,152,종각,53635.0,53341.0,20200113,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200111,1호선,152,종각,41463.0,38990.0,20200114,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200112,1호선,152,종각,21757.0,18592.0,20200115,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200113,1호선,152,종각,49906.0,48307.0,20200116,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200114,1호선,152,종각,50716.0,48868.0,20200117,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200115,1호선,152,종각,51872.0,49782.0,20200118,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200116,1호선,152,종각,51784.0,49954.0,20200119,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200117,1호선,152,종각,54143.0,52979.0,20200120,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200118,1호선,152,종각,38426.0,36961.0,20200121,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200119,1호선,152,종각,19870.0,17466.0,20200122,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200120,1호선,152,종각,50459.0,48925.0,20200123,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200121,1호선,152,종각,50284.0,48660.0,20200124,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200122,1호선,152,종각,49781.0,47764.0,20200125,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200123,1호선,152,종각,43189.0,41813.0,20200126,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200124,1호선,152,종각,13023.0,11963.0,20200127,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200125,1호선,152,종각,14456.0,12697.0,20200128,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200126,1호선,152,종각,17929.0,16042.0,20200129,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200127,1호선,152,종각,17928.0,15687.0,20200130,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200128,1호선,152,종각,42924.0,42121.0,20200131,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200129,1호선,152,종각,46825.0,45634.0,20200201,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200130,1호선,152,종각,46979.0,45632.0,20200202,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200131,1호선,152,종각,47725.0,47091.0,20200203,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191201,1호선,153,종로3가,19646.0,17772.0,20191204,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191201,1호선,153,종로3가,19646.0,17772.0,20191204,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191201,3호선,319,종로3가,4815.0,6479.0,20191204,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191201,3호선,319,종로3가,4815.0,6479.0,20191204,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191201,5호선,2535,종로3가,10704.0,8933.0,20191204,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191201,5호선,2535,종로3가,10704.0,8933.0,20191204,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191202,1호선,153,종로3가,34277.0,32405.0,20191205,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191202,1호선,153,종로3가,34277.0,32405.0,20191205,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191202,3호선,319,종로3가,12263.0,14417.0,20191205,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191202,3호선,319,종로3가,12263.0,14417.0,20191205,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
